iter	Passed	Remaining
470	691	776
471	692	774
472	693	772
473	694	771
474	696	769
475	697	767
476	698	765
477	699	764
478	700	762
479	702	760
480	703	758
481	704	757
482	705	755
483	706	753
484	708	751
485	709	750
486	710	748
487	711	746
488	712	745
489	713	743
490	715	741
491	716	739
492	717	738
493	718	736
494	719	734
495	721	732
496	722	730
497	723	729
498	724	727
499	725	725
500	726	723
501	727	721
502	728	720
503	729	718
504	730	716
505	731	714
506	733	712
507	734	711
508	735	709
509	736	707
510	737	705
511	738	703
512	739	702
513	740	700
514	741	698
515	743	696
516	744	695
517	745	693
518	746	691
519	747	689
520	748	688
521	749	686
522	750	684
523	751	682
524	752	681
525	753	679
526	754	677
527	755	675
528	756	673
529	757	672
530	758	670
531	760	668
532	761	666
533	762	665
534	763	663
535	764	662
536	766	660
537	767	658
538	768	657
539	769	655
540	770	653
541	771	652
542	772	650
543	774	648
544	775	647
545	776	645
546	777	643
547	778	642
548	779	640
549	780	638
550	782	637
551	783	635
552	784	634
553	785	632
554	786	630
555	787	629
556	788	627
557	789	625
558	790	623
559	791	622
560	793	620
561	794	618
562	795	617
563	796	615
564	797	613
565	798	612
566	799	610
567	800	608
568	801	607
569	802	605
570	803	603
571	804	602
572	805	600
573	806	598
574	807	597
575	808	595
576	809	593
577	811	592
578	812	590
579	813	588
580	814	587
581	815	585
582	816	583
583	817	582
584	818	580
585	819	579
586	820	577
587	821	575
588	822	574
589	823	572
590	825	571
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	561
597	832	559
598	833	558
599	834	556
600	835	554
601	837	553
602	838	551
603	839	550
604	841	549
605	842	547
606	843	546
607	844	544
608	845	543
609	846	541
610	847	539
611	849	538
612	850	536
613	851	535
614	852	533
615	853	532
616	855	530
617	856	529
618	857	527
619	858	526
620	859	524
621	861	523
622	862	521
623	863	520
624	864	518
625	865	517
626	867	515
627	868	514
628	869	512
629	870	511
630	871	509
631	873	508
632	874	506
633	875	505
634	876	504
635	879	503
636	880	502
637	882	500
638	883	499
639	884	497
640	885	496
641	887	494
642	888	493
643	889	491
644	890	490
645	892	488
646	893	487
647	894	486
648	896	484
649	897	483
650	898	481
651	899	480
652	901	478
653	902	477
654	903	475
655	904	474
656	905	472
657	906	471
658	908	469
659	909	468
660	910	467
661	911	465
662	913	464
663	914	462
664	915	461
665	916	459
666	917	458
667	918	456
668	920	455
669	921	453
670	922	452
671	923	450
672	924	449
673	926	447
674	927	446
675	928	445
676	930	443
677	931	442
678	932	440
679	933	439
680	934	437
681	936	436
682	937	435
683	938	433
684	939	432
685	941	430
686	942	429
687	944	428
688	945	426
689	946	425
690	947	423
691	948	422
692	950	420
693	951	419
694	952	417
695	953	416
696	955	415
697	956	413
698	957	412
699	958	410
700	959	409
701	961	407
702	962	406
703	963	405
704	965	403
705	966	402
706	967	400
707	968	399
708	969	398
709	971	396
710	972	395
711	973	393
712	974	392
713	975	390
714	976	389
715	978	387
716	979	386
717	980	385
718	981	383
719	982	382
720	983	380
721	984	379
722	985	377
723	986	376
724	987	374
725	988	373
726	989	371
727	990	370
728	991	368
729	993	367
730	994	365
731	995	364
732	996	362
733	997	361
734	998	360
735	1000	358
736	1001	357
737	1002	355
738	1003	354
739	1004	352
740	1005	351
741	1006	350
742	1007	348
743	1009	347
744	1010	345
745	1011	344
746	1012	342
747	1013	341
748	1014	340
749	1015	338
750	1017	337
751	1018	335
752	1019	334
753	1020	333
754	1021	331
755	1023	330
756	1024	328
757	1025	327
758	1026	326
759	1028	324
760	1029	323
761	1030	321
762	1031	320
763	1032	319
764	1034	317
765	1035	316
766	1036	314
767	1038	313
768	1039	312
769	1040	310
770	1041	309
771	1042	308
772	1044	306
773	1045	305
774	1046	303
775	1047	302
776	1048	300
777	1049	299
778	1051	298
779	1052	296
780	1053	295
781	1054	293
782	1055	292
783	1056	291
784	1058	289
785	1059	288
786	1060	287
787	1061	285
788	1062	284
789	1063	282
790	1064	281
791	1065	279
792	1066	278
793	1067	277
794	1068	275
795	1069	274
796	1070	272
797	1071	271
798	1072	269
799	1074	268
800	1075	267
801	1076	265
802	1077	264
803	1078	262
804	1079	261
805	1080	260
806	1081	258
807	1082	257
808	1084	255
809	1085	254
810	1086	253
811	1087	251
812	1088	250
813	1089	249
814	1090	247
815	1091	246
816	1092	244
817	1093	243
818	1094	241
819	1096	240
820	1097	239
821	1098	237
822	1099	236
823	1100	235
824	1101	233
825	1102	232
826	1103	230
827	1104	229
828	1105	228
829	1107	226
830	1108	225
831	1109	223
832	1110	222
833	1111	221
834	1112	219
835	1113	218
836	1114	217
837	1115	215
838	1116	214
839	1117	212
840	1118	211
841	1119	210
842	1121	208
843	1122	207
844	1123	206
845	1124	204
846	1125	203
847	1126	201
848	1127	200
849	1129	199
850	1130	197
851	1131	196
852	1132	195
853	1133	193
854	1134	192
855	1135	191
856	1137	189
857	1138	188
858	1139	186
859	1140	185
860	1141	184
861	1142	182
862	1143	181
863	1145	180
864	1146	178
865	1147	177
866	1148	176
867	1149	174
868	1151	173
869	1152	172
870	1153	170
871	1155	169
872	1156	168
873	1157	166
874	1158	165
875	1160	164
876	1161	162
877	1162	161
878	1163	160
879	1164	158
880	1166	157
881	1167	156
882	1168	154
883	1169	153
884	1171	152
885	1172	150
886	1173	149
887	1174	148
888	1176	146
889	1177	145
890	1178	144
891	1179	142
892	1180	141
893	1182	140
894	1183	138
895	1184	137
896	1185	136
897	1186	134
898	1188	133
899	1189	132
900	1190	130
901	1191	129
902	1192	128
903	1193	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1200	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1210	106
919	1211	105
920	1212	104
921	1214	102
922	1215	101
923	1216	100
924	1217	98
925	1218	97
926	1219	96
927	1220	94
928	1221	93
929	1222	92
930	1223	90
931	1224	89
932	1225	88
933	1226	86
934	1227	85
935	1229	84
936	1230	82
937	1231	81
938	1232	80
939	1233	78
940	1234	77
941	1235	76
942	1236	74
943	1237	73
944	1238	72
945	1239	70
946	1241	69
947	1242	68
948	1243	66
949	1244	65
950	1245	64
951	1246	62
952	1247	61
953	1248	60
954	1249	58
955	1250	57
956	1251	56
957	1252	54
958	1254	53
959	1255	52
960	1256	50
961	1257	49
962	1258	48
963	1259	47
964	1260	45
965	1261	44
966	1262	43
967	1263	41
968	1264	40
969	1266	39
970	1267	37
971	1268	36
972	1269	35
973	1270	33
974	1271	32
975	1272	31
976	1273	29
977	1275	28
978	1276	27
979	1277	26
980	1278	24
981	1279	23
982	1280	22
983	1281	20
984	1282	19
985	1283	18
986	1284	16
987	1286	15
988	1287	14
989	1288	13
990	1290	11
991	1291	10
992	1292	9
993	1293	7
994	1294	6
995	1296	5
996	1297	3
997	1298	2
998	1299	1
999	1300	0
