iter	RMSE
158	1.997604634
159	1.996123203
160	1.994314451
161	1.993838185
162	1.99304756
163	1.990167063
164	1.988384949
165	1.987100073
166	1.986343386
167	1.984869899
168	1.983735365
169	1.982350922
170	1.980754447
171	1.979970897
172	1.978739837
173	1.977322552
174	1.975464104
175	1.974569265
176	1.972029006
177	1.971255624
178	1.969623345
179	1.967728342
180	1.965204477
181	1.964269996
182	1.962723038
183	1.961791034
184	1.959232407
185	1.957954057
186	1.955732402
187	1.954677223
188	1.953942512
189	1.953201251
190	1.952000029
191	1.951308518
192	1.950471866
193	1.948476343
194	1.946232044
195	1.945231246
196	1.944693436
197	1.943984613
198	1.942818717
199	1.940598257
200	1.940139777
201	1.939378655
202	1.93658267
203	1.93520499
204	1.934384909
205	1.933006838
206	1.932175633
207	1.930372625
208	1.928393156
209	1.927819012
210	1.925847522
211	1.925415974
212	1.92460941
213	1.922945731
214	1.921446399
215	1.919077777
216	1.916784504
217	1.916005068
218	1.914807897
219	1.913568066
220	1.912360282
221	1.9097079
222	1.908248197
223	1.90639679
224	1.905667565
225	1.903847215
226	1.902816586
227	1.90208765
228	1.900677967
229	1.898137589
230	1.897423938
231	1.896251816
232	1.894737118
233	1.894022118
234	1.893336465
235	1.890974149
236	1.889432792
237	1.888241729
238	1.887554401
239	1.887036114
240	1.885876709
241	1.884285394
242	1.882871014
243	1.881555459
244	1.880342721
245	1.879196828
246	1.878667543
247	1.876887982
248	1.875582146
249	1.874793138
250	1.872985752
251	1.872181244
252	1.870218356
253	1.869267876
254	1.867914764
255	1.865811041
256	1.864977357
257	1.864354232
258	1.862231835
259	1.859961212
260	1.85869138
261	1.857310043
262	1.856804017
263	1.855786768
264	1.854439331
265	1.853492934
266	1.85280633
267	1.851975197
268	1.851264771
269	1.850236045
270	1.848387916
271	1.846750975
272	1.84538618
273	1.844516417
274	1.84234961
275	1.8417912
276	1.840670678
277	1.839948607
278	1.839016258
279	1.837606578
280	1.836317781
281	1.836032927
282	1.833775704
283	1.832229671
284	1.831558895
285	1.831335312
286	1.830116507
287	1.829426326
288	1.828454467
289	1.827368834
290	1.825912715
291	1.825341696
292	1.824013979
293	1.823161862
294	1.822062823
295	1.82087624
296	1.820319125
297	1.819427858
298	1.818944188
299	1.818123352
300	1.816497332
301	1.815990551
302	1.814826414
303	1.813173997
304	1.812564948
305	1.812200504
306	1.81118005
307	1.810168028
308	1.808073257
309	1.807762616
310	1.807322172
311	1.806984873
312	1.806696695
313	1.805509264
314	1.804007632
315	1.802615653
316	1.801390136
317	1.800716483
318	1.799727298
319	1.79909597
320	1.797694386
321	1.797097754
322	1.795850383
323	1.795414491
324	1.794496524
325	1.794157617
326	1.792723562
327	1.79175661
328	1.790322879
329	1.789361068
330	1.787200688
331	1.785994574
332	1.784530377
333	1.784455022
334	1.783707425
335	1.783291593
336	1.782631667
337	1.780909467
338	1.780391184
339	1.779327746
340	1.778741021
341	1.778132247
342	1.777426029
343	1.776951469
344	1.775965156
345	1.775128456
346	1.774306897
347	1.773981953
348	1.773556875
349	1.77248757
350	1.771890081
351	1.770604932
352	1.770293806
353	1.769001442
354	1.767472241
355	1.766750397
356	1.766283791
357	1.764587193
358	1.763934171
359	1.763195993
360	1.762946428
361	1.762688013
362	1.76117761
363	1.759922697
364	1.759650017
365	1.75864765
366	1.758552668
367	1.757742641
368	1.756569673
369	1.756200167
370	1.755200189
371	1.753140632
372	1.752081279
373	1.751232958
374	1.749499912
375	1.748304068
376	1.747052427
377	1.747020213
378	1.745985778
379	1.74431347
380	1.743020915
381	1.742083725
382	1.741928992
383	1.741831558
384	1.741557479
385	1.739451997
386	1.739048061
387	1.738769374
388	1.737918496
389	1.73708656
390	1.736051207
391	1.734878566
392	1.733147151
393	1.732461651
394	1.731788477
395	1.730189534
396	1.729478891
397	1.728421188
398	1.728118752
399	1.727190821
400	1.726735327
401	1.725515504
402	1.725202015
403	1.723973656
404	1.72218883
405	1.720392118
406	1.718907589
407	1.718501197
408	1.717034733
409	1.716300117
410	1.715875998
411	1.715690407
412	1.714332292
413	1.713067573
414	1.71136766
415	1.710405591
416	1.709687661
417	1.709017398
418	1.708785392
419	1.707997603
420	1.706526752
421	1.705646657
422	1.704464
423	1.702848198
424	1.701296447
425	1.699761308
426	1.699139778
427	1.698494676
428	1.698138583
429	1.69729618
430	1.695648895
431	1.695231582
432	1.694853814
433	1.694015449
434	1.693504491
435	1.692394322
436	1.691413011
437	1.689778872
438	1.688986264
439	1.687707199
440	1.686787711
441	1.686161946
442	1.685780359
443	1.685093722
444	1.684307018
445	1.682850845
446	1.681152456
447	1.680973776
448	1.67992707
449	1.679281109
450	1.678371301
451	1.677273054
452	1.676414298
453	1.675238196
454	1.673941957
455	1.673150248
456	1.671986983
457	1.671719888
458	1.670785326
459	1.669855149
460	1.669664375
461	1.669142496
462	1.667713778
463	1.667457492
464	1.667173401
465	1.666025336
466	1.665876614
467	1.664296722
468	1.663175154
469	1.662783302
470	1.662521825
471	1.661320626
472	1.659702663
473	1.658753545
474	1.658205172
475	1.657642489
476	1.656899649
477	1.655994057
478	1.654896773
479	1.653996226
480	1.652961091
481	1.652515432
482	1.651300284
483	1.650577639
484	1.649940377
485	1.648669814
486	1.648075078
487	1.647697286
488	1.645962856
489	1.645440359
490	1.643979284
491	1.64266454
492	1.642097627
493	1.640493576
494	1.640032667
495	1.639118274
496	1.637947373
497	1.637479768
498	1.637106081
499	1.635725222
500	1.634547504
501	1.633782168
502	1.632774598
503	1.632149315
504	1.631026331
505	1.630622517
506	1.630255013
507	1.629031651
508	1.628503122
509	1.628270632
510	1.626889157
511	1.626324538
512	1.625903915
513	1.625169038
514	1.624119369
515	1.623110551
516	1.622885306
517	1.622758118
518	1.621448546
519	1.620961568
520	1.619545671
521	1.618626316
522	1.617717347
523	1.617204913
524	1.615833653
525	1.614599893
526	1.613506552
527	1.61203252
528	1.611150614
529	1.610345952
530	1.608964144
531	1.607943119
532	1.606672397
533	1.606017247
534	1.605108421
535	1.604223453
536	1.603308084
537	1.602651929
538	1.601684136
539	1.600981288
540	1.600018406
541	1.599438146
542	1.599375701
543	1.599167266
544	1.598350577
545	1.59818553
546	1.597791053
547	1.59772196
548	1.596944563
549	1.59638027
550	1.595374842
551	1.594843565
552	1.594075925
553	1.593473474
554	1.592534069
555	1.591933941
556	1.591137461
557	1.590826342
558	1.589885725
559	1.589239757
560	1.588001527
561	1.587599316
562	1.587173621
563	1.586889038
564	1.586746441
565	1.586553944
566	1.58511485
567	1.584960431
568	1.584377576
569	1.583082993
570	1.582729687
571	1.581274422
572	1.580876493
573	1.580151833
574	1.579662142
575	1.578865273
576	1.578671312
577	1.578018777
578	1.577414484
579	1.576945207
580	1.575567057
581	1.575362024
582	1.574840645
583	1.573770001
584	1.573511501
585	1.573310721
586	1.572576505
587	1.572538781
588	1.571817121
589	1.571760116
590	1.570473159
591	1.569176793
592	1.568998365
593	1.568834012
594	1.567364958
595	1.565932644
596	1.565481483
597	1.564664623
598	1.564639609
599	1.563668511
600	1.563505404
601	1.56280653
602	1.56266107
603	1.561321635
604	1.56079221
605	1.56049094
606	1.559840678
607	1.558811981
608	1.557523441
609	1.556904291
610	1.55687465
611	1.556814548
612	1.556643211
613	1.556198503
614	1.555808302
615	1.554709371
616	1.554580378
617	1.553514013
618	1.552742907
619	1.552559709
620	1.551682779
621	1.551103715
622	1.550710228
623	1.549424706
624	1.548429616
625	1.547279229
626	1.546827154
627	1.546798636
628	1.546640368
629	1.546270893
630	1.54493529
631	1.544117107
632	1.54349492
633	1.543084524
634	1.54264729
635	1.542144264
636	1.540904566
637	1.539725105
638	1.538705488
639	1.538538213
640	1.538500048
641	1.538220996
642	1.537121354
643	1.536331964
644	1.536119454
645	1.535391638
646	1.535330433
647	1.534992266
648	1.534116144
649	1.533907127
650	1.533784834
651	1.533391582
652	1.532268326
653	1.531427055
654	1.530548468
655	1.529738773
656	1.529484877
657	1.528381805
658	1.528221808
659	1.5275063
660	1.526230833
661	1.525206814
662	1.524336261
663	1.523478675
664	1.523436471
665	1.523122922
666	1.522051942
667	1.520865138
668	1.520155025
669	1.518946418
670	1.518291733
671	1.518079962
672	1.517782445
673	1.517747461
674	1.517648556
675	1.517441655
676	1.517392171
677	1.516875269
678	1.515778023
679	1.514921526
680	1.513864059
681	1.513064889
682	1.512567716
683	1.512232318
684	1.51098354
685	1.510825804
686	1.510291098
687	1.509828428
688	1.50928308
689	1.508688091
690	1.508280333
691	1.507933241
692	1.506888758
693	1.506351202
694	1.50558164
695	1.504505741
696	1.504377552
697	1.503056489
698	1.502085115
699	1.501722821
700	1.500342738
701	1.499562077
702	1.4991632
703	1.498236643
704	1.496946265
705	1.49690768
706	1.496378824
707	1.495676888
708	1.494487899
709	1.494008474
710	1.493147019
711	1.492465617
712	1.492446342
713	1.491592565
714	1.4912388
715	1.490502317
716	1.489367526
717	1.488391734
718	1.488353011
719	1.487645451
720	1.487518218
721	1.487062451
722	1.486952873
723	1.486521126
724	1.486093233
725	1.48589368
726	1.485742167
727	1.485683576
728	1.485122407
729	1.484075202
730	1.482908938
731	1.481720513
732	1.481526086
733	1.480272235
734	1.47930972
735	1.478885234
736	1.477923324
737	1.477155302
738	1.477072936
739	1.476752009
740	1.476654519
741	1.475974795
742	1.475141895
743	1.474490373
744	1.473586526
745	1.473408076
746	1.473148498
747	1.472916089
748	1.47269972
749	1.47251077
750	1.471491926
751	1.471349121
752	1.470994168
753	1.469941457
754	1.469785661
755	1.469605008
756	1.468474783
757	1.467873223
758	1.467595832
759	1.467439155
760	1.467265798
761	1.466959457
762	1.466913293
763	1.465948665
764	1.465017406
765	1.463988734
766	1.463625964
767	1.463212109
768	1.463146341
769	1.463113039
770	1.463018894
771	1.462845447
772	1.462009538
773	1.461037183
774	1.459827263
775	1.45970207
776	1.459657083
777	1.459076629
778	1.458881505
779	1.458766365
780	1.458536119
781	1.458420184
782	1.45831248
783	1.457628988
784	1.456110134
785	1.455806099
786	1.455096286
787	1.454612533
788	1.454253292
789	1.453697967
790	1.45322893
791	1.453166132
792	1.452556879
793	1.452051632
794	1.451856007
795	1.451208542
796	1.45059964
797	1.450526092
798	1.450495241
799	1.449917233
800	1.449791843
801	1.449181277
802	1.449120397
803	1.448615234
804	1.448327149
805	1.447238221
806	1.446588993
807	1.445740384
808	1.445611952
809	1.444956351
810	1.444912986
811	1.44431705
812	1.443982112
813	1.44273771
814	1.441797197
815	1.440839306
816	1.439742146
817	1.4386434
818	1.437967489
819	1.436793063
820	1.436662206
821	1.436651937
822	1.436265249
823	1.435540836
824	1.434821095
825	1.434293756
826	1.433686675
827	1.433123547
828	1.43303849
829	1.432884283
830	1.432807762
831	1.432486503
832	1.432113522
833	1.431468057
834	1.431083106
835	1.430196274
836	1.430109127
837	1.429147282
838	1.428772107
839	1.428325857
840	1.427581946
841	1.42746391
842	1.426195274
843	1.425771902
844	1.425625762
845	1.425585797
846	1.42467097
847	1.424256305
848	1.423177346
849	1.422955226
850	1.422765449
851	1.422359292
852	1.422269558
853	1.422082216
854	1.422069917
855	1.421654577
856	1.420657691
857	1.420154063
858	1.42009684
859	1.419814872
860	1.419687369
861	1.41959266
862	1.41951915
863	1.419486153
864	1.419260017
865	1.419216906
866	1.418443525
867	1.418181518
868	1.417674525
869	1.417264174
870	1.416955113
871	1.416929162
872	1.416877081
873	1.416739911
874	1.416039366
875	1.415313644
876	1.415013209
877	1.41474092
878	1.414300774
879	1.414022314
880	1.413618405
881	1.413234167
882	1.412627205
883	1.41226055
884	1.411867854
885	1.411626446
886	1.410864773
887	1.410765077
888	1.410196602
889	1.410054956
890	1.409190575
891	1.408874168
892	1.407785019
893	1.407564868
894	1.406841517
895	1.406828377
896	1.406588717
897	1.406483838
898	1.405614902
899	1.40507955
900	1.404315713
901	1.404238258
902	1.40347993
903	1.402843023
904	1.402411614
905	1.401777647
906	1.401745635
907	1.401635262
908	1.400949744
909	1.40028997
910	1.399782484
911	1.399757475
912	1.399613329
913	1.399146144
914	1.398588535
915	1.397561214
916	1.397029941
917	1.396723922
918	1.396088397
919	1.395025498
920	1.394348119
921	1.393470629
922	1.392850644
923	1.392400472
924	1.39189622
925	1.391652341
926	1.390121748
927	1.389421735
928	1.389075429
929	1.388559576
930	1.387788008
931	1.386941361
932	1.38654254
933	1.386446619
934	1.385995545
935	1.38537872
936	1.384684419
937	1.384132003
938	1.383337449
939	1.383230521
940	1.382793432
941	1.382692856
942	1.382515594
943	1.381640542
944	1.380588842
945	1.380302153
946	1.379765186
947	1.379369764
948	1.379205528
949	1.378254261
950	1.377879054
951	1.37771648
952	1.377341585
953	1.376661066
954	1.376527598
955	1.375764024
956	1.37574464
957	1.375171998
958	1.374953631
959	1.374154905
960	1.373810374
961	1.373296609
962	1.372814856
963	1.37205259
964	1.371145108
965	1.37065599
966	1.370509227
967	1.36987703
968	1.369622469
969	1.36946326
970	1.36881683
971	1.36845601
972	1.368375732
973	1.368122762
974	1.367502816
975	1.367043098
976	1.366884041
977	1.365978634
978	1.365412892
979	1.364589285
980	1.36394723
981	1.363051922
982	1.362516267
983	1.362409897
984	1.362213343
985	1.361410607
986	1.360436962
987	1.359421218
988	1.359288385
989	1.358453867
990	1.358386334
991	1.358373371
992	1.357595492
993	1.356895861
994	1.35591558
995	1.355176624
996	1.35478414
997	1.35418115
998	1.353902188
999	1.353291473
