iter	Passed	Remaining
467	717	815
468	718	813
469	720	812
470	721	810
471	722	808
472	723	806
473	724	804
474	726	802
475	727	801
476	729	799
477	730	797
478	731	795
479	732	793
480	733	791
481	734	789
482	736	787
483	737	785
484	738	784
485	739	782
486	740	780
487	741	778
488	743	776
489	744	774
490	745	773
491	746	771
492	747	769
493	749	767
494	750	765
495	751	763
496	752	761
497	753	759
498	754	757
499	755	755
500	757	754
501	758	752
502	759	750
503	760	748
504	761	746
505	763	744
506	764	743
507	765	741
508	766	739
509	767	737
510	768	735
511	769	733
512	771	732
513	772	730
514	773	728
515	774	726
516	775	724
517	776	722
518	777	720
519	779	719
520	780	717
521	781	715
522	783	714
523	784	712
524	785	711
525	786	709
526	788	707
527	789	705
528	790	703
529	791	701
530	792	700
531	793	698
532	794	696
533	796	694
534	797	693
535	798	691
536	800	689
537	801	688
538	802	686
539	803	684
540	805	683
541	806	681
542	807	679
543	808	677
544	809	676
545	810	674
546	812	672
547	813	670
548	814	669
549	816	667
550	817	665
551	818	663
552	819	662
553	820	660
554	821	658
555	822	657
556	823	655
557	825	653
558	826	651
559	827	650
560	828	648
561	829	646
562	830	644
563	832	643
564	833	641
565	834	639
566	835	638
567	836	636
568	838	634
569	839	633
570	840	631
571	841	629
572	843	628
573	844	626
574	845	624
575	846	623
576	847	621
577	848	619
578	850	618
579	851	616
580	852	615
581	853	613
582	855	611
583	856	609
584	857	608
585	858	606
586	859	604
587	860	602
588	861	601
589	862	599
590	864	597
591	865	596
592	866	594
593	867	592
594	868	591
595	869	589
596	870	587
597	871	586
598	873	584
599	874	582
600	875	581
601	876	579
602	878	578
603	879	576
604	880	574
605	881	573
606	882	571
607	883	569
608	884	568
609	886	566
610	887	564
611	888	563
612	889	561
613	890	559
614	891	558
615	892	556
616	894	554
617	895	553
618	896	551
619	897	549
620	898	548
621	899	546
622	900	545
623	901	543
624	902	541
625	904	540
626	905	538
627	906	536
628	907	535
629	908	533
630	909	531
631	910	530
632	911	528
633	913	527
634	914	525
635	916	524
636	917	522
637	918	521
638	920	519
639	921	518
640	922	516
641	923	515
642	925	513
643	926	512
644	927	510
645	929	509
646	930	507
647	932	506
648	933	504
649	934	503
650	935	501
651	937	500
652	938	498
653	939	497
654	940	495
655	942	494
656	943	492
657	944	491
658	946	489
659	947	488
660	948	486
661	949	484
662	951	483
663	952	481
664	953	480
665	954	478
666	956	477
667	957	475
668	958	474
669	959	472
670	960	471
671	962	469
672	963	468
673	964	466
674	965	464
675	967	463
676	968	461
677	969	460
678	970	458
679	972	457
680	973	456
681	975	454
682	976	453
683	977	451
684	978	450
685	979	448
686	980	446
687	982	445
688	983	443
689	984	442
690	985	440
691	986	439
692	988	437
693	989	436
694	990	434
695	991	433
696	992	431
697	993	430
698	995	428
699	996	427
700	997	425
701	998	423
702	999	422
703	1001	420
704	1002	419
705	1003	417
706	1004	416
707	1005	414
708	1006	413
709	1007	411
710	1009	410
